frase,emocion
opera bufo tragedia nacional 29noalahuelgageneral ,N
sorpresas hipotecar tener avalista no acogerse dacion pagar via ,N
chino capaz copiarlo ahora x jamon dicen parecer vender euro ,N
nunca flipado tanto doblar pagina ganasdellorar ,P
saudi ruso vetar responsable continuacion violencia no proteger ,NEU
matanza continuar ,N
dia cortesia holgar general ya via ,N
mañana hoy trabajar intensamente medio aereo unidad terrestre extincion incendiar ,N
meditar ,NEU
decir acabar manejar injusto dinero ,P
palo ,N
partidazo ;) ,P
mas ,P
explicar politico contenido no insuficiente defensa usuario ventaja acusacion ,N
conclusion extraer primero dia vida ojo datar ,P
indignar tampoco tener recurso ,N
hahahshahshshaha no terminar revisar librar texto antes tuit beber no ,NEU
maravilloso r€gimen condenar miseria no ,N
from ,NEU
problema no deuda pesar desigualdad autonomico productividad economia dinamico ,N
triunfar holgar m costar dinero reducir casi pagar parados(larazon ,N
hijo pa'cuando concertar recordar playa añorar aqui ,P
dialogo asociacion cultural asistencial agrario vecino campaña participacion social ,P
vamos primero d tardar yeswespainisdifferent coger aire ,P
ya ,P
hasta luego ,P
intervencion hoy anfitrion elcambioandaluz ,P
mas majo charlar cine ,P
mañana entrevistar presidente casar primero encarcelar exdirector general ,NEU
compañero estar hoy reunion mujer aqui tener foto elcambioandaluz ,NEU
comprometer desdoblar conexion votapp votajavierarenas ,P
pelicula marzo elemento argumental violenciaestructural ,NEU
mas juez cifrar ayudar injusto alto cargo ,N
decir empresario ganar mucho montar empresa arriesgar asir ganar acabar ,N
mañana examen sindical especial tentrevistas ,NEU
pesar bueno partir momento ,P
ahora tocar atacar sindicato convocar holgar general musico costar millon ,N
primero tratar vividor luego violento mas tardar insensible victima terrorismo llamar criminalizar ,N
os dejar fotito mio tunel vestuario antes partir gustar estar tierra hoy nuevo gran dia ,P
solidaridad recordar ,P
mañana ,P
cultura esforzar personal enseñarla estimularla premiarla retribuirla no confundirla sobreexplotacion ,P
﻿1 recordar homenaje hoy victima atentar ,P
buenos dia casar ,P
gran dia hacer ahora tocar bueno entrenar despues ver equipar jugar ,P
inmersion lingüistico ,NEU
estar parque homenaje victima organizar _ 11mconlasvictimas ,P
ventana ver cadaver alinear soler nunca olvidar matanza asesino ,N
11mconlasvictimas dolor pais sufrir barbarie ciudad desgarrar poblar no olvidar querer ,N
rt no pedir estar partir selo pedir aqui estar mujer ,P
acto caer bofeton pan hablan insultar barbaridad ,N
poema domingo ,NEU
pagina hacer ,NEU
aumentar antiamericanismo hacer dificil transicion fuerza seguridad afg hacer exito ,N
mileurismo nacer año simbolo precariedad hoy cobrar euro inalcanzable joven ,N
sindicalista parir tender ropa manifestacion gritar a- anti- anticapitalistas paradojassindicales ,NEU
nimileurista ,NEU
llena tristeza victima terrorismo pretender boicotear trabajar justicia ,N
temer muy seriar solo no abrir x deuda mantener adjudicatario 2011 ,P
invoco libertar concordia rechazamos tipo terrorismo tanto hacer llorar recuerdo ,NEU
pesaos feed tuitean frase discursar tuitearan estornudar ,N
hoy recordar tragico marcar año memoria victima familiar no olvidar ,N
personar manifestar hoy convocar sindicato calculo policial ,NEU
sabe hora jugar ,P
"manjon:""estariamos encantar explosivo tytadine asir pertenecer gobernar ",N
no compartir solucionar amistad respetar perder año hijo vida dificil ,P
foto concertar ayer ,NEU
españas recordar separar victima ,N
verdad seguro discutir tb ;) auswitch tampoco ,P
cursar avanzar comprador segundar manir armario zapatero comprao ,P
guerra cesar ,NEU
mañana fabrica zaragozano asistir salir lineo montaje unidad numero millon ,P
ahora lugar hoy visitar candidatura ,NEU
bonito rt gran homenaje victima foto ,P
volviendo casar muy contentar despues victoria sensacion partir ,P
no aclarar beber futbolista bebida isotonico no periodismo deportivo ,N
prov ofrecer hoy mitin gran trabajar d candidatura ,P
no insistir no quitar cabeza ,P
muy bueno fabricacion placa inaugural epoca don industriar boyante cuandoeramoscultos ,P
descasar ,P
mañana candidatura cambiar visitar votapp ,NEU
atardecer ,NEU
apuntate eperiodico euro mesar lastima no llegar enhorabuena vuestro originalidad ,P
gracias no saber mucho isla ,P
gracias x sentir tan querido alma cantar junto debajo lluvia ,P
propongo investigar contribucion enfrentamiento civil promover diariamente derecho mediatico tuitera ,N
buenos dia ;-) lunes ,P
2010 2020 decada recuperar ,P
portada ,NEU
buenos dia ,P
buenos dia foloweros happy monday ,P
españolar estar plantarnos minoria lado buscar imponerse insulto ,P
tc no renovar junio quizas tiempo legalizar anular doctrinar ,N
hoy reunion hostelero [ pic ] ,NEU
hacer perfecto ejemplo escandaloso falto respetar personar lamentable ,N
;-) dia da igual lunes sabado aprovecharlo topar ,P
trabajar mas trabajar decir huelga no creer emplear reformar destruir actividad emplear derecho ,N
periodista volver absurdo seguir monitor pq no estar salar hablar ,N
plantar salir lineo montaje unidad numero millon ,P
11m.- presidente canario lamentar revision atentar atribuir presion grupo mediatico ,N
visitar relampago querer participar estrategia mundial drogar proponiendo participar n planesinternacionale ,P
sec afirmar estrategia no serio adecuar mesar despues dejar poder ,N
siquiera luchar parir ir unirnos ls españolar no sensato dejar intentar ganar eleccion ,N
bueno manera empezar semana bello librar regalar estudiante periodismo grande ,P
quiero alcalde alcalde convertir problema ciudadano problema propio votapp ,P
aclarar ,N
separar no reabrir casar ,N
mas detalle conocer mas desinflar gran anunciar habil lograr comunicacion ,P
propone educativo servir generacion votapp ,P
pido votapp pasar no conquistar futuro seremos gobernar vanguardista siempre utilizar dialogo ,P
gobernar reafirmar necesidad reformar laboral despues manifestacion sindical ayer ,P
lanzar ,P
seguir ;-) gustar ,P
no dudar rt no caber dudar lugar hermoso ,P
rt sombrar corrupcion amenazar ,N
os dejar tengo tocayo aqui pasear hoy venir presidente ,P
acoger menos partir celebrar pabellon enero sevillahoy ,P
empresa estrategico exito plantar contribuir gran medir exito ,P
negar debatir querer ocultar no tener politico crear emplear solo recorte mas parir ,N
esperando comenzar lleno amigo twitteros ,P
torcer coser ultimamente seguro perder caro caro no ir noche ,N
intervencion ,NEU
anunciar presentarse candidato presidir proximo ,P
lado oscuro pdf via opensource ,N
excusasparallegartarde hoy analizar ,NEU
explicar suceder decir verdad crisis no utilizarla sacar beneficio electoral debatertva ,N
decir negociar deficit tarea facil ,N
atencion final debatir besar lengua ,P
trending topic mundial ,P
imposible fijar mirar debatertva cartel electoral mirar huidizo ,N
ver claro m insultar tanto no conformar descubrir descubrir ,N
no hablar corrupcion generalizar intentar desprestigiar debatertva ,N
ver abril festival buenas noche ,P
deuda temer ayudar trabajador ascender mas millon pagar 2011 2015 ,N
primero conseguirme partitura luego premiar ,P
tuitea _ muy bueno poner arrobar ombligo ,P
totalmente ganador debatir .................. bien ,P
hoy acompañar ,NEU
beso ,P
beso ,P
contar emplear modif condicionar trabajar evitar parir ,P
gracia pensar tenia manir peor q no ajuntabas tener merced merecer ,P
quiza contar millon mas ,P
muy intrigar cn ganar escuchar nuevo d feat aqui teaser ,P
encontrar grande obrar arte ,P
gracias vosotros ,P
banca privar quebrar casi acudir ayudar endeudandose ahora problema deuda soberano ,N
ocampo secuestrar niño no tener fundamentar via ,N
preciar vivienda caer datar mes febrero descenso 2007 situar retroceder medio 2004 ,P
hoy visitar hablar nuevo tecnologia ,P
gustar itunes ,P
interesante cambiar perder cohesion social calidad ,P
abcdesevilla.es miembros hacer viaje cargar fundacion afin no pagar ,N
diferenciar casi6 decidir decir poco+d5 imponer ,N
desayuno patrocinar ,NEU
escuchando presidente ,NEU
gob no ir asear pasivo deficit tarifario tengo mandato hacer ,P
vuestro sketch martesy13 favorito ,P
martesy13 bicicleta sillin monje feliz ,P
asegurar dar recibir informe decir doblar ,P
_ olaa porfava ,P
sistema electrico distinto solo interconexion isla invertir renovable sol aire ,N
gracias vosotros enhorabuena ;-) gracia compartir entrevistar ,P
hasta luego ,P
hacer politico inversion promocion capacidad turistico economia emergente ,P
diplomacia no estar encimar accion humanitario sentir no llegar ,NEU
gustar foto ;-) elcambioandaluz ,P
hoy viajar mañana presentar yeswespainisdifferent d dia y14 d abril bien ,P
tio enorahuena ﻿1 hombre paso culo gracia no gustar lugar comun ,P
fraude dejar hipotecar millon euro alargar 2015 ,N
colgar audio anoche partir minuto ,NEU
comenzamos encontrar autonomo elcambioandaluz ,NEU
indultar unexalto cargar condenar corrupcion via ,N
encontrar autonomo reunion agenda cuadrar acto equipar campaña elcambioandaluz ,NEU
zanjar anterior impulsar libertar condicional etarra ,P
tramitar presenciar sindicato reformar laboral ,P
estar hombro hombro tarea decirle asir no poder ,P
calcular pretender despedir emplear publico cumplir objetivar gastar ,N
dice necesario flexibilizar calendario deficit publicar fijo deficit seguimosenbucle ,N
portavoz asegurar desconocer poner libertar condicional etarra ,N
no contar ,N
año ,N
esconder detras nube llovera no llover ,N
tenaza hacer paripe ,N
simpleza ,N
ahora risa no irian mal chistar rapidoaaaa ,P
proponer crear subcomision transparencia producto financiero hipotecario letra pequeño no tanto ,P
otro lado no creer objetivar realista no decir llegar ,N
contestar deficit encontrar desviacion millon euro ,N
recomendar tomar no olvidar venir ,N
no tener intencion despedir emplear publico eliminar duplicidad congreso ,P
;) apoyar tweet ,P
vamos ;) ale veeeeennnnnn ir ,P
abrazar ,P
supervisar actuacion micropolitica demandar tiempo avenir sevillahoy ,P
sigan favor saber abrir ,P
trabajas gaby_masbsas trabajo ,P
entrega ,P
igualdad laboral hombre mujer no llegar 2057 ,N
ayer colgar blog tribuna decilitro fin d semana pactar coger fiscal macro ,NEU
gobernar indultar corrupto condenar corrupcion politico pequeño decilitro pactar ppvergencia ,N
paradita pequeño cafe antes seguir [ pic ] ,NEU
abrazar padre ;) mandar saludar padre ,P
diputar jalear entusiasmar pide hacer proponer positivo hacer ,NEU
vivienda llevar año esperar escriturar casar prometio quieren cambiar ,N
apoyar mas sincerar jornada holgar companeros via ,P
llave vida ,NEU
preciosa foto ;-) ,P
asegurar ajustar adicional correr cargar ,P
vivienda hundir gasolina ir nube inflacion estancamiento ,N
talavera centrar politico pp mayo elegir reelegir ,NEU
perdon cristianar ,N
ahora confirmar marzo estrenar ,P
quito importancia nuevo recortar imponer anunciar mas subir impuesto noche ,N
imaginar perder autonomico inestimable apoyar imparcial publicar caceroladas increible ,NEU
ya ;-) dia precioso ,P
momentodormir ,NEU
aqui seguir ,NEU
cuaderno tener enganchaita primer librar leer gustar mucho ,P
intervenir locura ,N
buenas noche dulce sueño ,P
buenas noche llover pronto ,P
denunciar metodo torturar regimen sirio año revuelta via ,N
caballeros rodar risa .... ,P
puse incluso portar servir hoy politico democracia esceptico titular ,N
argumentar juez no citar hacer antes despues gestion convencer ,N
ver enrollar coger avion festivaldenantes ,P
parecer ideo devaluacion fiscal ganar adepto ,NEU
aeropuerto avion pagar euro mes luz ,N
coincidir apuesto austeridad creemos dificil politico adecuar ,P
recordar psoe votar decretar reestructuracion sist financiero ,NEU
criticar improvisacion dia decir decidir soberania nacional dp aceptar ,N
proponer recortar hacer no pasar congreso ,N
proponer subir impuesto tintar populista brindis sol oposicion ,N
querer radio pagar contarnos ahora partir vida ,N
lunes estrenar via ,P
necesario elcambioandaluz necesitar ,NEU
rosa10 esperemos no ciudadano unico quedar rescatar ,N
anunciar ajustar 2012 autonomia hacer proximo via ,N
capitalismo version grande acuerdo t.friedman ,NEU
noticias descombacantes disponible ,P
presentar ojalar mas personar ,P
dice portavoz dia emprender mas reformar año ,P
bueno gobernante derogar ley norma reglamento no aprobar fullyagree ,NEU
comentario arrogante respectar impropio retornar pasar derecho libertad propio arrogante ,N
ridiculo decir preferir recortar dejar deuda d ,N
constituir empresa enero mas mes año anterior bueno noticiar ,P
nuevo estilar llegar comprender no disculpar solo largar contestar grupo ,P
no opinion publico opinion publicar solo ,P
foto edificio municipal desusar pleno centrar ,NEU
rato twitter conseguir entrar ganar ver anunciar afortunadamente creer saber reprimirme ,NEU
empezamos mesar debatir deficit cuenta nuevo mesar ,N
gracia enhorabuena ;-) ,P
tambien querer venir amiguete ,P
estratega decir ganar candidato frontero tener destruirse ganar ,NEU
charla bancada azul espero foto curioso ,NEU
coger toro huevo decir vez cogerlo cuerno toro punto dar cornas ,NEU
desmantelamiento pasar historia ,NEU
dimision ,N
jugar seguir mas cambiar coser votapp votar ,NEU
primero reunion dia exponerle proyectar materia agricultura ,NEU
yerno joven parar paso noche velar menos mal tener hijo colocar ,N
;-) ,P
poder absoluto corromper absolutamente ,N
humanidad ,N
camino tierra rociero gente trabajador parque natural unico belleza ,P
permitir posicionarnos calendario internacional turismo congreso generar emplear manera inmediato ,P
director version españolar ,NEU
orgullo previo presentar enorme periodista buenisima personar ,P
anunciar despertar polemico salir callar muy divertir ,P
independentista catalan vasco amenazar manifesytarse debatir ,N
;) ver ,P
hacer pedagogia vs mentira nacionalismo pues bien mentira ,N
llegando ,NEU
locutor mas pekeño sanzerito mas tierno ,P
caso morir version loewe aun morir risa massssssss ,P
retirar mañana despertar cuanto gracia gente 40aniversarioccinf regalar estar alli animo ,P
muy recomendable ya estar ,P
ede?buena reflexion ,P
decir bueno mas guay españolar trombosis caos shock ,NEU
espectaculo ,NEU
